object_name,object_type,category,proposed_old_name,runtime_hits,ddl_hits,hard_deps,inbound_fk,synonyms,notes,recommended_action
DR$X_NEWS_ITEMS_SUMMARY_FT$Q,TABLE,oracle_managed_internal,,0,0,0,0,0,oracle_managed_internal,DO_NOT_RENAME_INTERNAL
DR$X_NEWS_ITEMS_SUMMARY_FT$U,TABLE,oracle_managed_internal,,0,6,0,0,0,oracle_managed_internal,DO_NOT_RENAME_INTERNAL
EEA_LIST_UPLOADED,TABLE,application_or_apex_object,OLD_EEA_LIST_UPLOADED,0,6,0,0,0,ddl_mentions_only,RENAME_TO_OLD
EEA_LIST_UPLOADED_OLD,TABLE,application_or_apex_object,OLD_EEA_LIST_UPLOADED_OLD,0,6,0,0,0,ddl_mentions_only,RENAME_TO_OLD
EEA_LIST_UPLOAD_DOWNLOAD,TABLE,application_or_apex_object,OLD_EEA_LIST_UPLOAD_DOWNLOAD,0,15,0,0,0,ddl_mentions_only,RENAME_TO_OLD
EEA_LIST_UPLOAD_DOWNLOAD_OLD,TABLE,application_or_apex_object,OLD_B041128D_EEA_LIST_UPLOAD_D,0,6,0,0,0,ddl_mentions_only,RENAME_TO_OLD
EEA_LIST_UPLOAD_PENDING,TABLE,application_or_apex_object,OLD_EEA_LIST_UPLOAD_PENDING,0,6,0,0,0,ddl_mentions_only,RENAME_TO_OLD
EMEA_GREEN_BOND_ISS_PERC,TABLE,application_or_apex_object,OLD_EMEA_GREEN_BOND_ISS_PERC,0,15,0,0,0,ddl_mentions_only,RENAME_TO_OLD
ESG_EMBEDDINGS,TABLE,application_or_apex_object,OLD_ESG_EMBEDDINGS,0,0,0,0,0,,RENAME_TO_OLD
ESG_METADATA,TABLE,application_or_apex_object,OLD_ESG_METADATA,0,27,0,0,0,ddl_mentions_only,RENAME_TO_OLD
ESG_SCORES,TABLE,application_or_apex_object,OLD_ESG_SCORES,0,21,0,0,0,ddl_mentions_only,RENAME_TO_OLD
EU_SDG_13_31_AVG_CO2_KM_NEW_PASSENGER_CARS,TABLE,application_or_apex_object,OLD_7CEB1CB3_EU_SDG_13_31_AVG_,0,6,0,0,0,ddl_mentions_only,RENAME_TO_OLD
INDEX_ACTIONS,TABLE,application_or_apex_object,OLD_INDEX_ACTIONS,0,21,0,0,0,ddl_mentions_only,RENAME_TO_OLD
INDEX_BALANCE_SHEET,TABLE,application_or_apex_object,OLD_INDEX_BALANCE_SHEET,0,21,0,0,0,ddl_mentions_only,RENAME_TO_OLD
INDEX_CASH_FLOW,TABLE,application_or_apex_object,OLD_INDEX_CASH_FLOW,0,21,0,0,0,ddl_mentions_only,RENAME_TO_OLD
INDEX_CONSTITUENT_PRICES,TABLE,application_or_apex_object,OLD_INDEX_CONSTITUENT_PRICES,0,15,0,0,0,ddl_mentions_only,RENAME_TO_OLD
INDEX_DAILY_LEVELS,TABLE,application_or_apex_object,OLD_INDEX_DAILY_LEVELS,0,12,0,0,0,ddl_mentions_only,RENAME_TO_OLD
INDEX_DAILY_RETURNS,TABLE,application_or_apex_object,OLD_INDEX_DAILY_RETURNS,0,15,0,0,0,ddl_mentions_only,RENAME_TO_OLD
INDEX_DIVIDENDS,TABLE,application_or_apex_object,OLD_INDEX_DIVIDENDS,0,21,0,0,0,ddl_mentions_only,RENAME_TO_OLD
INDEX_ESG_SCORES,TABLE,application_or_apex_object,OLD_INDEX_ESG_SCORES,0,21,0,0,0,ddl_mentions_only,RENAME_TO_OLD
INDEX_FINANCIALS,TABLE,application_or_apex_object,OLD_INDEX_FINANCIALS,0,21,0,0,0,ddl_mentions_only,RENAME_TO_OLD
INDEX_REBALANCE_DATES,TABLE,application_or_apex_object,OLD_INDEX_REBALANCE_DATES,0,12,0,0,0,ddl_mentions_only,RENAME_TO_OLD
INDEX_SPLITS,TABLE,application_or_apex_object,OLD_INDEX_SPLITS,0,21,0,0,0,ddl_mentions_only,RENAME_TO_OLD
INDEX_STOCK_PRICES,TABLE,application_or_apex_object,OLD_INDEX_STOCK_PRICES,0,24,0,0,0,ddl_mentions_only,RENAME_TO_OLD
NEWS_SOURCES,TABLE,application_or_apex_object,OLD_NEWS_SOURCES,0,27,0,0,0,ddl_mentions_only,RENAME_TO_OLD
SC_IDX_DIVISOR,TABLE,application_or_apex_object,OLD_SC_IDX_DIVISOR,7,0,0,0,0,runtime_code_mentions,BLOCKED_NEEDS_REVIEW
SC_IDX_HOLDINGS,TABLE,application_or_apex_object,OLD_SC_IDX_HOLDINGS,7,0,0,0,0,runtime_code_mentions,BLOCKED_NEEDS_REVIEW
SC_IDX_JOB_RUNS,TABLE,application_or_apex_object,OLD_SC_IDX_JOB_RUNS,9,0,0,0,0,runtime_code_mentions,BLOCKED_NEEDS_REVIEW
SC_IDX_LEVELS,TABLE,application_or_apex_object,OLD_SC_IDX_LEVELS,8,0,0,0,0,runtime_code_mentions,BLOCKED_NEEDS_REVIEW
