table_name,num_rows,last_analyzed,blocks,row_count_value,row_count_method,row_count_threshold_blocks
INDEX_DAILY_LEVELS,,,,,UNKNOWN,200
INDEX_DAILY_RETURNS,,,,,UNKNOWN,200
INDEX_DIVIDENDS,,,,,UNKNOWN,200
INDEX_ESG_SCORES,,,,,UNKNOWN,200
INDEX_FINANCIALS,,,,,UNKNOWN,200
INDEX_LEVELS,35,2025-05-21 10:23:28,5,35,STATS,200
INDEX_REBALANCE_DATES,,,,,UNKNOWN,200
INDEX_SPLITS,,,,,UNKNOWN,200
INDEX_STOCK_PRICES,2400,2025-05-21 09:08:16,28,2400,STATS,200
NEWS_CATEGORIES,6,2025-08-13 09:55:43,5,6,STATS,200
NEWS_ITEMS,,,,,UNKNOWN,200
NEWS_ITEM_CATEGORIES,5,2025-10-01 09:56:09,5,5,STATS,200
NEWS_ITEM_TAGS,6,2025-10-01 09:56:09,5,6,STATS,200
NEWS_ITEM_TICKERS,2,2025-10-01 09:56:09,5,2,STATS,200
NEWS_SOURCES,,,,,UNKNOWN,200
NEWS_TAGS,5,2025-08-14 08:37:22,5,5,STATS,200
RATE_LIMIT_LOG,,,,,UNKNOWN,200
SC_IDX_DIVISOR,,,,,UNKNOWN,200
SC_IDX_HOLDINGS,,,,,UNKNOWN,200
SC_IDX_JOB_RUNS,20,2025-12-17 01:40:16,5,20,STATS,200
SC_IDX_LEVELS,,,,,UNKNOWN,200
SC_IDX_PRICES_CANON,26237,2025-12-14 11:40:34,244,26237,STATS,200
SC_IDX_PRICES_RAW,26237,2025-12-14 11:40:35,378,26237,STATS,200
TECH100_COMPANIES,2,2025-10-14 10:25:02,5,2,STATS,200
TECH11_AI_GOV_ETH_INDEX,400,2025-10-01 09:20:56,50,400,STATS,200
VECTOR$ESG_DOCS_HNSW$165913_172112_0$HNSW_CHECKPOINTS,2,2025-12-17 10:03:03,5,2,STATS,200
VECTOR$ESG_DOCS_HNSW$165913_172112_0$HNSW_SHARED_JOURNAL_CHANGE_LOG,1676,2025-12-17 10:03:03,1006,1676,STATS,200
VECTOR$ESG_DOCS_HNSW$165913_172112_2$HNSW_ROWID_VID_MAP,1681,2025-12-17 10:03:03,5,1681,STATS,200
