object_name,object_type,all_source_hits,all_views_hits,all_triggers_hits,text_hit_count,text_scan_complete
SC_IDX_DIVISOR,TABLE,0,,,0,True
SC_IDX_HOLDINGS,TABLE,0,,,0,True
SC_IDX_JOB_RUNS,TABLE,0,,,0,True
SC_IDX_LEVELS,TABLE,0,,,0,True
SC_IDX_PRICES_CANON,TABLE,0,,,0,True
SC_IDX_PRICES_RAW,TABLE,0,,,0,True
TECH100_COMPANIES,TABLE,0,,,0,True
TECH11_AI_GOV_ETH_INDEX,TABLE,0,,,0,True
VECTOR$ESG_DOCS_HNSW$165913_172112_0$HNSW_CHECKPOINTS,TABLE,0,,,0,True
VECTOR$ESG_DOCS_HNSW$165913_172112_0$HNSW_SHARED_JOURNAL_CHANGE_LOG,TABLE,0,,,0,True
VECTOR$ESG_DOCS_HNSW$165913_172112_2$HNSW_ROWID_VID_MAP,TABLE,0,,,0,True
ESG_BENCHMARK_RETURNS,VIEW,0,,,0,True
ESG_BENCH_DAILY_RET,VIEW,1,,,1,True
ESG_BENCH_RISK_30D,VIEW,0,,,0,True
ESG_BENCH_SECTOR_DAILY,VIEW,1,,,1,True
ESG_INDEX_DAILY_RET,VIEW,1,,,1,True
ESG_INDEX_RETURNS,VIEW,0,,,0,True
ESG_INDEX_RISK_30D,VIEW,0,,,0,True
ESG_INDEX_SECTOR_DAILY,VIEW,1,,,1,True
ESG_INDEX_VS_BENCH_YTD,VIEW,0,,,0,True
ESG_SCORE_00,VIEW,0,,,0,True
ESG_SCORE_01,VIEW,0,,,0,True
ESG_SCORE_ENVIRONMENTAL,VIEW,0,,,0,True
ESG_SCORE_GOVERNANCE,VIEW,0,,,0,True
ESG_SCORE_SOCIAL,VIEW,0,,,0,True
NET_GREENHOUSE_GAS_EMISSIONS,VIEW,0,,,0,True
NET_GREENHOUSE_GAS_EMISSIONS_MAX_YEAR,VIEW,0,,,0,True
NET_GREENHOUSE_GAS_EMISSIONS_NEW,VIEW,0,,,0,True
SC_CHUNKS,VIEW,0,,,0,True
TECH11_AI_GOV_ETH_PERF_00,VIEW,0,,,0,True
V_NEWS_ALL,VIEW,0,,,0,True
V_NEWS_ENRICHED,VIEW,0,,,0,True
V_NEWS_RECENT,VIEW,0,,,0,True
V_NEWS_SEARCH,VIEW,0,,,0,True
V_TECH100_NEWS,VIEW,0,,,0,True
