object_name,object_type,status,last_ddl_time
EU_SDG_13_31_AVG_CO2_KM_NEW_PASSENGER_CARS,TABLE,VALID,2024-11-13 13:59:03
INDEX_ACTIONS,TABLE,VALID,2025-05-21 08:42:44
INDEX_BALANCE_SHEET,TABLE,VALID,2025-05-21 08:42:44
INDEX_CASH_FLOW,TABLE,VALID,2025-05-21 08:42:44
INDEX_COMPANIES,TABLE,VALID,2025-05-21 08:41:55
INDEX_CONSTITUENTS,TABLE,VALID,2025-05-21 09:57:40
INDEX_CONSTITUENT_PRICES,TABLE,VALID,2025-05-21 09:57:40
INDEX_DAILY_LEVELS,TABLE,VALID,2025-05-21 19:35:29
INDEX_DAILY_RETURNS,TABLE,VALID,2025-05-21 19:35:29
INDEX_DIVIDENDS,TABLE,VALID,2025-05-21 08:42:43
INDEX_ESG_SCORES,TABLE,VALID,2025-05-21 08:42:44
INDEX_FINANCIALS,TABLE,VALID,2025-05-21 08:42:44
INDEX_LEVELS,TABLE,VALID,2025-05-21 09:58:12
INDEX_REBALANCE_DATES,TABLE,VALID,2025-05-21 19:35:29
INDEX_SPLITS,TABLE,VALID,2025-05-21 08:42:44
INDEX_STOCK_PRICES,TABLE,VALID,2025-05-21 19:35:29
NEWS_CATEGORIES,TABLE,VALID,2025-08-13 09:47:31
NEWS_ITEMS,TABLE,VALID,2025-08-13 09:42:43
NEWS_ITEM_CATEGORIES,TABLE,VALID,2025-08-13 09:47:31
NEWS_ITEM_TAGS,TABLE,VALID,2025-08-13 09:47:31
NEWS_ITEM_TICKERS,TABLE,VALID,2025-08-13 09:47:31
NEWS_SOURCES,TABLE,VALID,2025-08-13 09:47:31
NEWS_TAGS,TABLE,VALID,2025-08-13 09:47:31
RATE_LIMIT_LOG,TABLE,VALID,2025-08-09 16:55:45
SC_IDX_DIVISOR,TABLE,VALID,2025-12-12 22:18:06
SC_IDX_HOLDINGS,TABLE,VALID,2025-12-12 22:18:06
SC_IDX_JOB_RUNS,TABLE,VALID,2025-12-14 10:20:55
